id,tratamiento,trabajador,observaciones
315,[AV] ARPÓN PREMIUM,TOMAS SANCHO ALBA,"Solicitamos un servicio deAvispas. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
316,[LIM] Limpieza industrial 1000,MARIA CONSUELO CRUZ GUERRA,"Solicitamos un servicio deLimpieza Industrial. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
317,[LIM] Limpieza industrial 1000,ALICIA MONTOYA SOLER,"Solicitamos un servicio deLimpieza Industrial. Rogamos una rápida y efectiva solución, ya que la plaga nos dificulta el flujo de"
318,[AV] ARPÓN PREMIUM,ENCARNACION ANDREU ROS,"Necesito un servicio contraAvispas. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
319,[AV] ARPÓN PREMIUM,TOMAS SANCHO ALBA,"Necesito un servicio contraAvispas. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
320,[CC] LETAL PLUS,ENEKO VELAZQUEZ BARBA,"Necesito un servicio contraCucarachas. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
321,[RAT] ZYNRAT BF Trigo,AMELIA CARDONA MARIN,"Necesito un servicio contraRatas. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
322,[DES] Desbroce 30 m,TOMAS SANCHO ALBA,"Necesito un servicio contraDesherbace y desbroce. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
323,[LIM] Limpieza industrial 500,MARIA CONSUELO CRUZ GUERRA,"Necesito un servicio contraLimpieza Industrial. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
324,[LIM] Limpieza industrial 1000,IGOR ALCALA CARDONA,"Necesito un servicio contraLimpieza Industrial. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
325,[LIM] Limpieza industrial 1000,ENCARNACION ANDREU ROS,"Necesito un servicio contraLimpieza Industrial. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
326,[DES] Desbroce 30 m,TOMAS SANCHO ALBA,"Necesito un servicio contraDesherbace y desbroce. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
327,[LEG] Control legionella < 20.000 L,TOMAS SANCHO ALBA,"Necesito un servicio contraLegionella. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
328,[HOR] LETAL LACA,TOMAS SANCHO ALBA,"Necesito un servicio contraHormigas. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
329,[AVE] Repelin Aves,ALICIA MONTOYA SOLER,"Necesito un servicio contraAves. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
330,[LEG] Control legionella < 20.000 L,TOMAS SANCHO ALBA,"Necesito un servicio contraLegionella. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
331,[LEG] Control legionella > 20.000 L,AMELIA CARDONA MARIN,"Necesito un servicio contraLegionella. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
332,[LEG] Control legionella > 20.000 L,ANDREA GARCIA LORENZO,"Necesito un servicio contraLegionella. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
333,[DES] Desbroce 30 m,IGOR ALCALA CARDONA,"Necesito un servicio contraDesherbace y desbroce. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
334,[AV] ARPÓN PREMIUM,ANDREA GARCIA LORENZO,"Necesito un servicio contraAvispas. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
335,[AV] ARPÓN PREMIUM,IGOR ALCALA CARDONA,"Necesito un servicio contraAvispas. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
336,[DES] Desbroce 30 m,MARIA CONSUELO CRUZ GUERRA,"Necesito un servicio contraDesherbace y desbroce. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
337,[DES] Desbroce 80 m,ALICIA MONTOYA SOLER,"Necesito un servicio contraDesherbace y desbroce. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
338,[AVE] Reubicación,IGOR ALCALA CARDONA,"Necesito un servicio contraAves. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
339,[AVE] Repelin Aves,ENCARNACION ANDREU ROS,"Necesito un servicio contraAves. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
340,[HOR] LETAL LACA,TOMAS SANCHO ALBA,"Necesito un servicio contraHormigas. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
341,[LEG] Control legionella < 20.000 L,ENEKO VELAZQUEZ BARBA,"Necesito un servicio contraLegionella. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
342,[AV] ARPÓN PREMIUM,IGOR ALCALA CARDONA,"Necesito un servicio contraAvispas. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
343,[RAT] ZYNRAT BLOQUE 25,IGOR ALCALA CARDONA,"Necesito un servicio contraRatas. Tengo hijos pequeños y mascotas, y es horrible vivir con esta plaga. Por favor, sugiero que consideren mi petición lo más rápido posible."
344,[LIM] Limpieza industrial 500,AMELIA CARDONA MARIN,La empresa posee un problema deLimpieza Industrial. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
345,[CC] LETAL PLUS,ENCARNACION ANDREU ROS,La empresa posee un problema deCucarachas. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
346,[DES] Desbroce 30 m,ANDREA GARCIA LORENZO,La empresa posee un problema deDesherbace y desbroce. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
347,[LIM] Limpieza industrial 500,ENEKO VELAZQUEZ BARBA,La empresa posee un problema deLimpieza Industrial. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
348,[CC] LETAL GEL,MARIA CONSUELO CRUZ GUERRA,La empresa posee un problema deCucarachas. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
349,[AV] ARPÓN PREMIUM,MARIA CONSUELO CRUZ GUERRA,La empresa posee un problema deAvispas. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
350,[LIM] Limpieza industrial 500,MARIA CONSUELO CRUZ GUERRA,La empresa posee un problema deLimpieza Industrial. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
351,[RAT] ZYNRAT BF Trigo,ALICIA MONTOYA SOLER,La empresa posee un problema deRatas. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
352,[DES] Desbroce 30 m,AMELIA CARDONA MARIN,La empresa posee un problema deDesherbace y desbroce. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
353,[RAT] ZYNRAT BF Trigo,ENCARNACION ANDREU ROS,La empresa posee un problema deRatas. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
354,[LEG] Control legionella < 20.000 L,ENCARNACION ANDREU ROS,La empresa posee un problema deLegionella. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
355,[HOR] LETAL GEL,ALICIA MONTOYA SOLER,La empresa posee un problema deHormigas. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
356,[LEG] Control legionella < 20.000 L,MARIA CONSUELO CRUZ GUERRA,La empresa posee un problema deLegionella. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
357,[LEG] Control legionella < 20.000 L,IGOR ALCALA CARDONA,La empresa posee un problema deLegionella. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
358,[AV] ARPÓN PREMIUM,ENEKO VELAZQUEZ BARBA,La empresa posee un problema deAvispas. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
359,[AV] ARPÓN PREMIUM,AMELIA CARDONA MARIN,La empresa posee un problema deAvispas. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
360,[LEG] Control legionella < 20.000 L,MARIA CONSUELO CRUZ GUERRA,La empresa posee un problema deLegionella. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
361,[HOR] LETAL GEL,ALICIA MONTOYA SOLER,La empresa posee un problema deHormigas. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
362,[AVE] Reubicación,TOMAS SANCHO ALBA,La empresa posee un problema deAves. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
363,[HOR] LETAL GEL,ALICIA MONTOYA SOLER,La empresa posee un problema deHormigas. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
364,[AVE] Reubicación,AMELIA CARDONA MARIN,La empresa posee un problema deAves. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
365,[RAT] ZYNRAT BLOQUE 25,TOMAS SANCHO ALBA,La empresa posee un problema deRatas. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
366,[CC] LETAL PLUS,TOMAS SANCHO ALBA,La empresa posee un problema deCucarachas. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
367,[LEG] Control legionella > 20.000 L,AMELIA CARDONA MARIN,La empresa posee un problema deLegionella. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
368,[LEG] Control legionella < 20.000 L,AMELIA CARDONA MARIN,La empresa posee un problema deLegionella. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
369,[AV] ARPÓN PREMIUM,AMELIA CARDONA MARIN,La empresa posee un problema deAvispas. Necesitamos una rápida actuación para seguir el ritmo normal de trabajo. 
370,[RAT] ZYNRAT BF Trigo,ALICIA MONTOYA SOLER,Tengo una plaga de Ratas muy abundante en casa. Necesito que me solucionen el problema.
371,[DES] Desbroce 80 m,MARIA CONSUELO CRUZ GUERRA,Tengo una plaga de Desherbace y desbroce muy abundante en casa. Necesito que me solucionen el problema.
372,[TER] XILIX GEL,ENEKO VELAZQUEZ BARBA,Tengo una plaga de Termitas muy abundante en casa. Necesito que me solucionen el problema.
373,[LIM] Limpieza industrial 500,TOMAS SANCHO ALBA,Tengo una plaga de Limpieza Industrial muy abundante en casa. Necesito que me solucionen el problema.
374,[RAT] ZYNRAT BF Trigo,ANDREA GARCIA LORENZO,Tengo una plaga de Ratas muy abundante en casa. Necesito que me solucionen el problema.
375,[CC] LETAL GEL,ENCARNACION ANDREU ROS,Tengo una plaga de Cucarachas muy abundante en casa. Necesito que me solucionen el problema.
376,[LEG] Control legionella < 20.000 L,MARIA CONSUELO CRUZ GUERRA,Tengo una plaga de Legionella muy abundante en casa. Necesito que me solucionen el problema.
377,[LEG] Control legionella < 20.000 L,MARIA CONSUELO CRUZ GUERRA,Tengo una plaga de Legionella muy abundante en casa. Necesito que me solucionen el problema.
378,[AVE] Reubicación,ENEKO VELAZQUEZ BARBA,Tengo una plaga de Aves muy abundante en casa. Necesito que me solucionen el problema.
379,[DES] Desbroce 30 m,ENEKO VELAZQUEZ BARBA,Tengo una plaga de Desherbace y desbroce muy abundante en casa. Necesito que me solucionen el problema.
380,[LEG] Control legionella > 20.000 L,IGOR ALCALA CARDONA,Tengo una plaga de Legionella muy abundante en casa. Necesito que me solucionen el problema.
381,[RAT] ZYNRAT BLOQUE 25,ANDREA GARCIA LORENZO,Tengo una plaga de Ratas muy abundante en casa. Necesito que me solucionen el problema.
382,[DES] Desbroce 30 m,MARIA CONSUELO CRUZ GUERRA,Tengo una plaga de Desherbace y desbroce muy abundante en casa. Necesito que me solucionen el problema.
383,[TER] NEMESIS CEBO ANTITERMITAS,IGOR ALCALA CARDONA,Tengo una plaga de Termitas muy abundante en casa. Necesito que me solucionen el problema.
384,[RAT] ZYNRAT BLOQUE 25,ANDREA GARCIA LORENZO,Tengo una plaga de Ratas muy abundante en casa. Necesito que me solucionen el problema.
385,[AVE] Repelin Aves,AMELIA CARDONA MARIN,Tengo una plaga de Aves muy abundante en casa. Necesito que me solucionen el problema.
386,[TER] NEMESIS CEBO ANTITERMITAS,MARIA CONSUELO CRUZ GUERRA,Tengo una plaga de Termitas muy abundante en casa. Necesito que me solucionen el problema.
387,[AV] ARPÓN PREMIUM,ENEKO VELAZQUEZ BARBA,Tengo una plaga de Avispas muy abundante en casa. Necesito que me solucionen el problema.
388,[AV] ARPÓN PREMIUM,ENEKO VELAZQUEZ BARBA,Tengo una plaga de Avispas muy abundante en casa. Necesito que me solucionen el problema.
389,[DES] Desbroce 30 m,MARIA CONSUELO CRUZ GUERRA,Tengo una plaga de Desherbace y desbroce muy abundante en casa. Necesito que me solucionen el problema.
390,[AVE] Repelin Aves,AMELIA CARDONA MARIN,Tengo una plaga de Aves muy abundante en casa. Necesito que me solucionen el problema.
391,[LEG] Control legionella > 20.000 L,ANDREA GARCIA LORENZO,Tengo una plaga de Legionella muy abundante en casa. Necesito que me solucionen el problema.
392,[LIM] Limpieza industrial 500,ENCARNACION ANDREU ROS,Tengo una plaga de Limpieza Industrial muy abundante en casa. Necesito que me solucionen el problema.
393,[LEG] Control legionella < 20.000 L,ENEKO VELAZQUEZ BARBA,Tengo una plaga de Legionella muy abundante en casa. Necesito que me solucionen el problema.
394,[CC] LETAL PLUS,MARIA CONSUELO CRUZ GUERRA,Tengo una plaga de Cucarachas muy abundante en casa. Necesito que me solucionen el problema.
395,[RAT] ZYNRAT BLOQUE 25,IGOR ALCALA CARDONA,Tengo una plaga de Ratas muy abundante en casa. Necesito que me solucionen el problema.
396,[CC] LETAL GEL,ALICIA MONTOYA SOLER,Una plaga de Cucarachas
397,[LEG] Control legionella > 20.000 L,ANDREA GARCIA LORENZO,Una plaga de Legionella
398,[HOR] LETAL GEL,AMELIA CARDONA MARIN,Una plaga de Hormigas
399,[CC] LETAL GEL,ALICIA MONTOYA SOLER,Una plaga de Cucarachas
400,[LEG] Control legionella > 20.000 L,IGOR ALCALA CARDONA,Una plaga de Legionella
401,[TER] XILIX GEL,TOMAS SANCHO ALBA,Se tiene un problema muy importante de Termitas. Necesitamos una solución inmediata.
402,[CC] LETAL GEL,AMELIA CARDONA MARIN,Se tiene un problema muy importante de Cucarachas. Necesitamos una solución inmediata.
403,[RAT] ZYNRAT BF Trigo,ALICIA MONTOYA SOLER,Se tiene un problema muy importante de Ratas. Necesitamos una solución inmediata.
404,[TER] NEMESIS CEBO ANTITERMITAS,ALICIA MONTOYA SOLER,Se tiene un problema muy importante de Termitas. Necesitamos una solución inmediata.
405,[HOR] LETAL LACA,AMELIA CARDONA MARIN,Se tiene un problema muy importante de Hormigas. Necesitamos una solución inmediata.
406,[RAT] ZYNRAT BLOQUE 25,,Existe una plaga muy abundante de Ratas. Necesito ayuda por favor. 
407,[CC] LETAL GEL,,Existe una plaga muy abundante de Cucarachas. Necesito ayuda por favor. 
408,[AV] ARPÓN PREMIUM,,Existe una plaga muy abundante de Avispas. Necesito ayuda por favor. 
409,[RAT] ZYNRAT BLOQUE 25,,Existe una plaga muy abundante de Ratas. Necesito ayuda por favor. 
410,[DES] Desbroce 30 m,,Existe una plaga muy abundante de Desherbace y desbroce. Necesito ayuda por favor. 
